y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
2.4387772,-9.1630602,-1.5885297,-.8029018,-3.990557,-.8029018,1.5845582,-3.1114707,-.45125732,2.1548009,-5.8497124,-1.3846678
.62982833,-1.4384366,1.1776097,-.19600414,.44656485,-.19600414,-1.2181851,.69086081,-2.1432786,.12130742,-.34149858,-.46743798
-3.4289594,11.462125,2.8872862,1.3581133,3.876879,1.3581133,-.81524736,2.6384156,.15856493,-1.5636684,4.1908407,-.54865944
-1.3202858,5.8543997,-.55252492,1.2339842,1.7197357,1.2339842,2.1503499,.8966502,-.82777977,4.0080094,1.0853927,1.4861599
1.7731774,-7.0317879,-1.9525487,-.88785797,-2.296057,-.88785797,-.70595038,.05410976,-.35562557,-2.7795885,-1.2999024,-.29156515
-3.691994,12.814137,1.8782266,1.7150526,3.1417341,1.7150526,1.5116484,3.1471133,-.29469049,4.2660546,1.3019935,.31849584
-.099100344,-.012609527,-1.7083935,.068909809,.47159541,.068909809,.93574011,.39988574,-.24925695,.15178441,-.8297984,.73555088
3.8301148,-12.42243,-1.3958991,-1.9491564,-2.2669654,-1.9491564,-1.1477743,-4.0981445,.38466588,-.26853427,-4.2311196,.67225862
1.2075628,-4.3066893,-.047441751,-.980223,-.73980927,-.980223,-1.2725403,-.36315799,.076706305,-.51810437,-.74702299,-1.1383042
-1.4888701,6.3167944,-.64757001,1.0508906,2.4517391,1.0508906,.9391914,1.4451878,.026465109,2.5454211,3.3320544,.59505004
-2.2895002,7.5091529,1.2700529,.87549222,3.7553093,.87549222,-.94879884,1.9358715,-.25426641,-1.6833777,2.5269864,-.47834668
2.8305113,-10.372247,-2.3625736,-1.3012613,-3.9418173,-1.3012613,-.39714658,-1.0515828,-.016604062,-1.8428235,-1.8784359,-.55570126
-4.0961218,13.305727,4.3233466,1.2770449,1.7483319,1.2770449,.57336664,4.0852447,.021347815,1.8536612,2.1749687,-.39270735
-3.0972557,11.390395,2.0191753,1.8012201,1.4938855,1.8012201,2.7562683,1.8143555,-.29572925,4.3793097,2.9023225,.1918913
-2.3967619,8.0559874,1.0672089,1.0255826,3.1349888,1.0255826,.85663652,.55620855,.38977906,.90515786,1.5468261,-.44901559
2.8248069,-8.3555098,-1.845443,-1.3071642,-.97939062,-1.3071642,-.9469704,-2.2204237,.251046,-.44452834,-.11643909,.82616031
-2.8610384,11.552322,3.0577264,1.7242557,3.353739,1.7242557,1.1735719,1.7019689,-1.1831952,3.6502652,4.9424901,-.8538276
5.2707181,-18.501831,-4.1123886,-1.9723663,-4.5260234,-1.9723663,-.78312045,-4.4110394,-.72452611,-3.2796142,-4.7694697,-.66791546
-5.6649508,18.071175,4.7851667,1.4642698,5.6410394,1.4642698,-.0073635885,3.8134289,.91036296,-.1686568,2.2771506,.17195189
2.9094915,-9.4474897,-.77535057,-.9481284,-1.4724201,-.9481284,-1.0881294,-3.1635265,-1.0518066,-2.4806604,-2.121093,.050738312
2.7019162,-8.7134323,-3.6320326,-.82828808,-2.1276245,-.82828808,-.2159068,-3.3860157,2.3047235,-.029100077,-1.0615475,.67231417
-.86383212,3.0624371,-.61516398,.66304415,-.28897965,.66304415,.53556746,2.1184921,-.01356728,.63853407,1.5248226,1.0261258
-.56039476,1.1121684,.77052885,-.16633889,.61726469,-.16633889,-.26596704,.1531793,.16984043,-.45876056,-.4717795,-1.2798498
-.79758465,3.9947224,2.2921636,.94035852,.87981987,.94035852,1.1955389,.18494529,-2.4384623,1.3297198,2.3899188,-.76929635
-2.6106358,9.414876,1.7601309,1.3975375,3.5643716,1.3975375,.98189837,1.973331,-1.6599303,1.1467807,3.186626,-.89983803
-3.3371489,12.087865,2.6051862,1.6893575,3.2962098,1.6893575,.87093979,2.4341128,-.49729902,1.325043,3.3089268,1.06589
